Size,Time (seconds)
1000,2.7e-06
2000,2.3e-06
3000,1.7e-06
4000,1.5e-06
5000,1.6e-06
6000,1.5e-06
7000,2.1e-06
8000,8.9e-06
9000,1.9e-06
10000,2.2e-06
11000,2e-06
12000,3.2e-06
13000,2.1e-06
14000,3.6e-06
15000,2.2e-06
16000,1.7e-06
17000,3.3e-06
18000,1.8e-06
19000,1.7e-06
20000,3.2e-06
21000,3.3e-06
22000,2.6e-06
23000,4.4e-06
24000,3.6e-06
25000,3e-06
26000,3.6e-06
27000,2.6e-06
28000,2.9e-06
29000,2.3e-06
30000,3.1e-06
31000,3.2e-06
32000,4.2e-06
33000,2.6e-06
34000,1.09e-05
35000,4.1e-06
36000,3.6e-06
37000,2.8e-06
38000,2.8e-06
39000,2.4e-06
40000,4.3e-06
41000,3.6e-06
42000,1.9e-06
43000,4.2e-06
44000,3.5e-06
45000,3.2e-06
46000,6.4e-06
47000,4.9e-06
48000,4e-06
49000,7.4e-06
50000,4.6e-06
51000,3.4e-06
52000,3.4e-06
53000,5.1e-06
54000,5.9e-06
55000,4.7e-06
56000,3.9e-06
57000,4.5e-06
58000,2.6e-06
59000,4.8e-06
60000,6.2e-06
61000,4.5e-06
62000,7.6e-06
63000,3.8e-06
64000,5.4e-06
65000,3.9e-06
66000,4.5e-06
67000,4.8e-06
68000,6.2e-06
69000,4.4e-06
70000,7.1e-06
71000,4.9e-06
72000,6.4e-06
73000,5.8e-06
74000,6.7e-06
75000,5.9e-06
76000,5.7e-06
77000,5.5e-06
78000,5.6e-06
79000,5.9e-06
80000,5.1e-06
81000,6.2e-06
82000,8.5e-06
83000,4.5e-06
84000,6.6e-06
85000,6.3e-06
86000,6.3e-06
87000,5.9e-06
88000,9.5e-06
89000,6.8e-06
90000,9.2e-06
91000,6e-06
92000,6.7e-06
93000,6.7e-06
94000,5.5e-06
95000,5.4e-06
96000,7.4e-06
97000,6.5e-06
98000,8e-06
99000,7.1e-06
100000,7.2e-06
