Size,Time (seconds)
1000,5e-07
2000,5e-07
3000,4e-07
4000,4e-07
5000,3e-07
6000,2e-07
7000,8e-07
8000,3e-07
9000,8e-07
10000,6e-07
11000,5e-07
12000,3e-07
13000,5e-07
14000,6e-07
15000,6e-07
16000,5e-07
17000,6e-07
18000,8e-07
19000,5e-07
20000,6e-07
21000,1.4e-06
22000,4e-07
23000,6e-07
24000,7e-07
25000,8e-07
26000,2e-06
27000,2.4e-06
28000,1e-06
29000,5e-07
30000,5e-07
31000,7e-07
32000,4e-07
33000,1.6e-06
34000,8e-07
35000,7e-07
36000,6e-07
37000,8e-07
38000,8e-07
39000,7e-07
40000,1.2e-06
41000,1.1e-06
42000,6e-07
43000,8e-07
44000,4e-07
45000,5e-07
46000,3.5e-06
47000,7e-07
48000,6e-07
49000,5e-07
50000,6e-07
51000,1.2e-06
52000,1e-06
53000,9e-07
54000,9e-07
55000,7e-07
56000,3.1e-06
57000,1e-06
58000,1.4e-06
59000,7e-07
60000,7e-07
61000,6e-07
62000,7e-07
63000,9e-07
64000,6e-07
65000,7e-07
66000,8e-07
67000,8e-07
68000,7e-07
69000,1.2e-06
70000,1.4e-06
71000,8e-07
72000,9e-07
73000,8e-07
74000,1e-06
75000,7e-07
76000,6e-07
77000,8e-07
78000,1.1e-06
79000,7e-07
80000,7e-07
81000,2.4e-06
82000,1.3e-06
83000,1.6e-06
84000,2.1e-06
85000,2.1e-06
86000,8e-07
87000,7e-07
88000,9e-07
89000,7e-07
90000,8e-07
91000,6e-07
92000,7e-07
93000,1e-06
94000,5e-07
95000,7e-07
96000,9e-07
97000,8e-07
98000,8e-07
99000,9e-07
100000,1e-06
