Size,Time (seconds)
1000,2.7e-06
2000,2e-06
3000,7e-07
4000,6e-07
5000,5e-07
6000,5e-07
7000,2e-06
8000,2.1e-06
9000,2.6e-06
10000,8e-07
11000,1e-06
12000,1.9e-06
13000,8e-07
14000,8e-07
15000,1.1e-06
16000,3.2e-06
17000,2.1e-06
18000,1.6e-06
19000,1.3e-06
20000,1.5e-06
21000,9e-07
22000,3e-06
23000,3.3e-06
24000,2.3e-06
25000,2e-06
26000,1e-06
27000,1.6e-06
28000,1e-06
29000,1.7e-06
30000,9e-07
31000,1.4e-06
32000,3.1e-06
33000,2.2e-06
34000,1.7e-06
35000,1.8e-06
36000,1.5e-06
37000,1.4e-06
38000,1.4e-06
39000,2.5e-06
40000,1.3e-06
41000,1.6e-06
42000,1.7e-06
43000,4.1e-06
44000,2.3e-06
45000,1.6e-06
46000,1.7e-06
47000,2.2e-06
48000,1.9e-06
49000,1.7e-06
50000,1.7e-06
51000,1.6e-06
52000,1.9e-06
53000,1.6e-06
54000,1.7e-06
55000,2.3e-06
56000,1.6e-06
57000,1.8e-06
58000,2.3e-06
59000,1.5e-06
60000,2.6e-06
61000,2.3e-06
62000,2.2e-06
63000,2.1e-06
64000,2.1e-06
65000,1.8e-06
66000,2.4e-06
67000,2.5e-06
68000,2.2e-06
69000,2.5e-06
70000,2.2e-06
71000,2e-06
72000,2e-06
73000,1.8e-06
74000,2.8e-06
75000,5.4e-06
76000,2.4e-06
77000,3.1e-06
78000,2.5e-06
79000,2.5e-06
80000,4.1e-06
81000,1.9e-06
82000,3.4e-06
83000,2.2e-06
84000,2e-06
85000,2.6e-06
86000,2.4e-06
87000,2.1e-06
88000,2.6e-06
89000,2.1e-06
90000,2.6e-06
91000,2.5e-06
92000,2.8e-06
93000,2.4e-06
94000,3.1e-06
95000,2.3e-06
96000,2.3e-06
97000,1.9e-06
98000,2.1e-06
99000,2.5e-06
100000,3.3e-06
